Wavelength [nm],TBS,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12,TBS2,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12
333,0.01132154,0.02993631,0.02560568,0.02579069,0.02707529,0.02130365,0.02196312,0.01269722,0.01700592,0.02000093,0.01991844,0.0218668,0.02874756,0.02577877
334,0.0115447,0.02979708,0.02562809,0.02589893,0.02726936,0.02103329,0.02174807,0.01280022,0.01701021,0.0200181,0.02022219,0.0220561,0.02846289,0.02528811
335,0.01108551,0.02955627,0.025383,0.0255971,0.02672291,0.02095318,0.02150249,0.01235485,0.01670599,0.0196352,0.01977825,0.0217371,0.02795124,0.02477121
336,0.01119375,0.02932596,0.02545452,0.02580595,0.02698994,0.02102232,0.02132559,0.01233673,0.01724815,0.01986885,0.0196352,0.02134514,0.02806425,0.0253644
337,0.01177692,0.02988148,0.02591085,0.02604151,0.02742052,0.02149439,0.02152157,0.01301479,0.01729107,0.02038383,0.02007294,0.02169228,0.02828169,0.02565145
338,0.01121187,0.02951765,0.02528143,0.0255084,0.02694273,0.02058935,0.02093363,0.01248312,0.01682663,0.0195837,0.01935148,0.02076197,0.02759695,0.0248208
339,0.01123238,0.02979803,0.02560568,0.02548933,0.02671957,0.02108383,0.02115822,0.01249504,0.01703072,0.01954842,0.01959276,0.0212121,0.02756929,0.02454805
340,0.0115509,0.02986574,0.02571011,0.02595901,0.02714014,0.02100611,0.02147532,0.01233053,0.017169,0.019876,0.01954603,0.02120399,0.02733612,0.02495861
341,0.01145124,0.03015709,0.02593136,0.02611494,0.02698469,0.0212121,0.02187586,0.01252079,0.01761389,0.02018118,0.0196085,0.02096987,0.02767611,0.0246954
342,0.01180077,0.03048372,0.02617216,0.0262866,0.02753115,0.02186823,0.02183676,0.01299572,0.01783037,0.02038097,0.02010107,0.02128029,0.02766991,0.02505922
343,0.01175356,0.03057384,0.02612591,0.0264945,0.02761173,0.02161026,0.02154016,0.01334763,0.01769447,0.02010155,0.01973104,0.02098989,0.02720881,0.02438641
344,0.01147413,0.03014946,0.0254817,0.02588511,0.02703285,0.02104521,0.02108908,0.01267099,0.01722479,0.01990271,0.01926041,0.02042437,0.02697468,0.02378798
