Wavelength (nm),h2o,nir0.5,nir1,nir1.5,nir2,nir2.5,nir3,nir3.5,nir4,prot1,prot2,prot3,prot4,prot6,prot8,prot10,prot12,prot14,prot16,prot20,prot24,prot28,prot32,prot36,prot42,prot48,prot54,prot60
391.6666565,0.001040749,-0.001355343,-0.000519583,-0.000242691,-0.000246934,0.000807901,0.000253472,0.001167005,0.001800576,0.001386515,0.002294474,0.002588712,0.003053606,0.004174829,0.004396781,0.005304091,0.0069759,0.008673844,0.007187734,0.007953209,0.009511367,0.010534211,0.010597178,0.011400392,0.011683503,0.012748933,0.013997373,0.014137214
392,0.000482575,-0.001275959,-0.000323144,-0.000898194,0.00019727,0.000461611,0.0009199,-2.23E-05,0.00147661,0.001420821,0.002356725,0.002462563,0.003895264,0.003938467,0.004293974,0.004821837,0.006719948,0.008158082,0.00712405,0.008071786,0.009950547,0.010481888,0.011013587,0.01207881,0.011186521,0.01185242,0.013189906,0.013756835
392.333313,1.24E-05,-0.001503234,-0.000866264,-0.000641343,-0.000289567,0.000808524,0.000762389,0.000811766,0.001154364,0.001785032,0.002020719,0.002471597,0.003261266,0.00370769,0.004516771,0.004235835,0.007125286,0.007899587,0.007011808,0.0083326,0.009705329,0.01036517,0.011463139,0.010837167,0.011351073,0.011908315,0.013521183,0.0143084
392.6666565,-0.000440718,-0.002143702,-0.001970313,-0.000598123,-0.000582354,-3.83E-05,0.000341493,0.000356233,0.00056577,0.001840738,0.001572725,0.002253541,0.002632541,0.003586854,0.003814824,0.004541332,0.006650654,0.007641114,0.006713639,0.007378029,0.009449616,0.009450992,0.009341242,0.011072136,0.011362871,0.011399888,0.012857921,0.013161888
393,0.000720901,-0.001621469,-0.000899124,-0.001023515,-0.0007794,-2.26E-05,-0.000151407,-0.000108811,0.00126087,0.000628578,0.001273539,0.001697576,0.002396886,0.00250703,0.00329319,0.004146786,0.006282972,0.007350147,0.006172943,0.007331086,0.008571471,0.008840194,0.010243844,0.010790299,0.0111968,0.011583316,0.01195509,0.013254273
393.333313,-0.000188461,-0.001593461,-0.000549884,-0.00122511,-0.000279582,-0.000226909,0.000659713,0.000449691,0.000531116,0.0013398,0.002068028,0.002102284,0.002610978,0.003250651,0.003516701,0.004302575,0.006547102,0.007746719,0.006836006,0.00815518,0.009831111,0.009539017,0.010503395,0.010928739,0.01061052,0.011553754,0.012413077,0.01404277
393.6666565,0.000431993,-0.002054465,-0.001227846,-0.001117973,-0.001134755,-0.000420547,-0.000403478,0.000331933,0.001009379,0.001436689,0.001295997,0.001999862,0.002455352,0.003270055,0.003499295,0.003669261,0.006231131,0.007343486,0.006798509,0.007158917,0.00949184,0.009285174,0.010200778,0.010663921,0.01122671,0.012211485,0.012280473,0.012849656
394,-5.58E-05,-0.001672065,-0.001448232,-0.002037203,-0.001201723,-2.47E-05,-0.0009108,0.000209364,0.000880471,0.000555454,0.001610475,0.001885713,0.002552621,0.003088956,0.003401187,0.003925276,0.006400226,0.006678491,0.006595721,0.006977137,0.008664681,0.009596071,0.009695165,0.0107428,0.01002829,0.011129284,0.012228152,0.013069337
394.333313,-0.000903877,-0.002271857,-0.001332685,-0.001631217,-0.00104593,-0.000457682,-0.000249107,-0.001031882,0.000825122,0.000215735,0.001362468,0.001704385,0.002059315,0.002347356,0.003339855,0.003772286,0.004973836,0.00732948,0.006257365,0.006562476,0.008354185,0.009079055,0.010034568,0.010010223,0.010251663,0.01092842,0.012368676,0.012955949
394.6666565,0.000492423,-0.000829061,-7.68E-05,-0.000579873,-0.000491245,0.000829168,0.000532775,4.57E-05,0.001745629,0.001401837,0.001460974,0.002243497,0.003017137,0.003900488,0.003082021,0.004440374,0.006426235,0.008329459,0.007045588,0.007847395,0.008866719,0.009456706,0.009958916,0.011073118,0.010135219,0.011750466,0.012097708,0.012981499
395,-3.46E-05,-0.001785923,-0.000718879,-0.002209433,-0.001660358,-0.000121543,-0.000310883,-0.000816917,0.000614398,0.001221125,0.001257054,0.002453686,0.002329814,0.003762912,0.003507906,0.003847025,0.005934415,0.007425477,0.006790173,0.007811075,0.008971381,0.009197913,0.009893844,0.010310427,0.010059603,0.01156383,0.011885648,0.012893813
395.333313,0.000357166,-0.001948202,-0.000272597,-0.000685334,-0.000363494,-8.44E-06,-0.000642222,-0.000714848,0.000560689,0.000858035,0.00173752,0.001923569,0.002699764,0.002561032,0.003732076,0.003763278,0.00547453,0.007794445,0.00665465,0.007461001,0.009327383,0.009197702,0.010266612,0.009431256,0.010346665,0.010969754,0.011908661,0.013083262
