,H2O,MEF_0.5,MEF_1,MEF_1.5,MEF_2,MEF_2.5,MEF_3,MEF_3.5,MEF_4,MEF_4_prot_0.5,MEF_4_prot_1,MEF_4_prot_2,MEF_4_prot_3,MEF_4_prot_4,MEF_4_prot_5,MEF_4_prot_6,MEF_4_prot_8,MEF_4_prot_10,MEF_4_prot_12,MEF_4_prot_14,MEF_4_prot_16,MEF_4_prot_20,MEF_4_prot_24,MEF_4_prot_28,MEF_4_prot_32,MEF_4_prot_36,MEF_4_prot_40,MEF_4_prot_44,MEF_4_prot_48,MEF_4_prot_52,MEF_4_prot_56,MEF_4_prot_56
238,0.004840851,0.000609875,0.00774622,0.008732319,0.01449299,0.02099037,0.02659178,0.03232813,0.0385046,0.04351139,0.04854345,0.0633173,0.08089495,0.09559536,0.1092668,0.1269259,0.16535,0.2036886,0.2349014,0.2707691,0.3054376,0.3802862,0.4504695,0.512732,0.581686,0.6503177,0.7186623,0.7820001,0.8405237,0.9084506,0.9666376,1.027707
239,0.004868984,0.000212669,0.007105827,0.007786274,0.0133934,0.02004528,0.02557802,0.03097725,0.03693485,0.0411129,0.04532671,0.05661631,0.07069826,0.08240032,0.09304571,0.1077681,0.1386566,0.1697807,0.1947742,0.2233853,0.2514863,0.3128533,0.3693147,0.418695,0.4742465,0.5301676,0.5863523,0.6379156,0.6843286,0.7416553,0.7884159,0.8398757
240,0.004822254,0.000117302,0.006595612,0.007267952,0.01252985,0.01897669,0.02431631,0.02998114,0.03568649,0.03903532,0.04270363,0.05140781,0.06289768,0.07294273,0.08102131,0.09339428,0.1185884,0.1441364,0.1640902,0.1875434,0.2102604,0.2599778,0.3063197,0.3454709,0.3911433,0.436842,0.4829259,0.5241532,0.5620184,0.6099339,0.6474848,0.6892576
241,0.00475359,-2.38E-06,0.00626421,0.006726265,0.0119977,0.01820469,0.0234189,0.02896261,0.03430653,0.03739452,0.04039574,0.0473175,0.05707073,0.06523705,0.0716548,0.08202696,0.1028843,0.1241341,0.1398978,0.1588888,0.1775804,0.2188506,0.2566051,0.2872338,0.3246927,0.3630567,0.4006848,0.434298,0.4643731,0.5050941,0.5352349,0.5703602
242,0.00450182,-0.000286579,0.005723,0.005963326,0.01104546,0.01739216,0.02248049,0.02801704,0.03297997,0.03560114,0.0382185,0.04348946,0.05164862,0.05875301,0.06378365,0.07274818,0.09027529,0.1081624,0.1208334,0.1366329,0.1517153,0.1864481,0.217958,0.242557,0.2735243,0.3053737,0.3374629,0.3650951,0.3891273,0.4243994,0.4491568,0.4780478
243,0.004738331,-0.000332832,0.005358696,0.005672932,0.01054955,0.01684284,0.02163267,0.02696466,0.03222036,0.03426409,0.03663826,0.04061508,0.04755545,0.05371141,0.05718374,0.06527472,0.07987547,0.09527493,0.1053553,0.119051,0.1311698,0.1606121,0.1870708,0.2068105,0.2327304,0.2595739,0.2870831,0.3097796,0.3296928,0.3596931,0.3806911,0.4055748
244,0.004808903,-0.000320435,0.005300045,0.005561352,0.01043558,0.0164175,0.02130795,0.02649593,0.03148508,0.03334379,0.03570604,0.03880596,0.04483747,0.05006123,0.05298233,0.06016636,0.07250977,0.08586597,0.09388876,0.1056504,0.1164327,0.1418161,0.1639547,0.1800094,0.2020984,0.2254624,0.2491069,0.2684693,0.2847381,0.3112421,0.329247,0.3501225
245,0.004513264,-0.000533581,0.004992485,0.005090714,0.009872913,0.01583004,0.02089548,0.02589321,0.0308423,0.03247356,0.03483868,0.03709364,0.0424614,0.04713202,0.04957056,0.0560379,0.0671773,0.07899046,0.08581686,0.09629869,0.1056705,0.1280341,0.1476007,0.1607933,0.1804042,0.2012992,0.2221251,0.2389016,0.2529626,0.2772207,0.2927895,0.3109751
246,0.004628658,-0.000479698,0.005049229,0.005298615,0.009811401,0.0159421,0.0208087,0.02591419,0.0308919,0.03230095,0.03435946,0.03657532,0.04123402,0.04571247,0.04772902,0.05360413,0.063766,0.07470131,0.08061886,0.08987045,0.09829712,0.1190534,0.1365428,0.1481304,0.1658645,0.1846819,0.2040458,0.2188549,0.2314181,0.2536354,0.2679067,0.2846017
247,0.004636288,-0.000371456,0.005113125,0.005141258,0.009832382,0.01584816,0.02079773,0.02592897,0.03079796,0.03221321,0.03405857,0.03584051,0.04037523,0.04457855,0.04620171,0.05196285,0.06120014,0.07154894,0.07694435,0.08576918,0.09353065,0.1129665,0.1294556,0.1395125,0.1560535,0.1739998,0.1917624,0.2056632,0.2171273,0.2382984,0.2514296,0.2672658
