Wavelength (nm),H2O,prot_5uM,vel_1-2,vel_2-2,vel_3-2,vel_4-2,vel_5-2,vel_6-2,vel_7-2,vel_8-2,vel_9-2,vel_10-2,vel_12-2,vel_14-2,vel_16-2,vel_18-2,vel_20-2,vel_24-2,vel_28-2,vel_32-2,vel_40-2
442,-0.00035232,0.00048172,9.69E-05,0.000224308,0.001380568,0.000705836,0.001068255,0.001981971,0.002934045,0.003367846,0.003847312,0.004689831,0.004923434,0.005283155,0.00511934,0.006626498,0.007024304,0.008578521,0.013892696,0.01409638,0.009808764
443,-0.000349682,0.000484778,0.000252203,0.000645454,0.000928512,0.001253679,0.001624688,0.001773414,0.002924429,0.002939362,0.003712599,0.004700952,0.004734239,0.005286902,0.005482997,0.007026067,0.006839924,0.008335291,0.014240692,0.013984889,0.009588555
444,-0.000543938,0.000445908,0.000105213,0.000588502,0.001130123,0.001107882,0.000984264,0.001504221,0.002707917,0.00297095,0.003943718,0.004361219,0.004714874,0.005066826,0.005445039,0.006299964,0.006441052,0.007738418,0.014186129,0.014259605,0.009748903
445,-0.000329403,-8.93E-05,0.000371312,0.000567869,0.000876269,0.001151094,0.001179853,0.001496039,0.00304091,0.002940769,0.003731031,0.004513946,0.004398193,0.004976612,0.004940007,0.006405585,0.006877215,0.008105859,0.014213009,0.014240853,0.009467686
446,-0.00035858,2.58E-05,0.000516706,0.000829739,0.001093141,0.000848724,0.00171348,0.00187313,0.003060436,0.003019744,0.004278079,0.004629389,0.004946448,0.005036656,0.005498542,0.006204241,0.006951516,0.00857155,0.014720378,0.014462604,0.009937728
447,-0.000162378,8.00E-05,3.72E-05,0.000239175,0.000728809,0.001140453,0.001240361,0.001571659,0.002720055,0.002708438,0.003696516,0.004345322,0.004578792,0.005080392,0.005632604,0.006129543,0.007062926,0.007907679,0.014174922,0.014251634,0.009076596
448,2.42E-05,0.000352814,0.000423908,0.000677213,0.001169548,0.000817341,0.001999732,0.001601148,0.002964955,0.002879919,0.003718839,0.004497755,0.005070047,0.005007353,0.005291251,0.00660032,0.007094,0.008037662,0.014058251,0.014407584,0.008827276
449,-0.000436529,-3.02E-05,-0.000363597,0.000302609,0.000584147,0.000742293,0.001192753,0.001270087,0.002855972,0.002653376,0.003577275,0.004477747,0.004778965,0.004908904,0.004582036,0.006228479,0.006481304,0.007714598,0.013925706,0.014370364,0.008971275
450,-0.000216301,-0.000165069,0.00034815,0.000401055,0.000879252,0.000909238,0.001453753,0.001665405,0.002681271,0.002951324,0.003481237,0.004494172,0.005114336,0.004943935,0.005282237,0.006390112,0.007282252,0.008184433,0.014035684,0.014653142,0.009050561
451,-0.000150216,-0.000322109,-6.55E-05,0.000531868,0.000933648,0.000453396,0.00113547,0.001827454,0.002416617,0.002625483,0.003148636,0.004280118,0.004962106,0.004609244,0.005406089,0.006205239,0.006625605,0.00783071,0.014285312,0.014676196,0.009494672
452,-0.00046125,0.00071836,0.000191339,0.000297972,0.000975468,0.001550097,0.001810636,0.002044932,0.003015521,0.003000455,0.003492771,0.004524095,0.00447691,0.00512078,0.005070204,0.006288802,0.006793355,0.008209915,0.014290395,0.014926647,0.009779825
453,0.000112722,0.00059576,0.000381105,0.000378721,0.001461441,0.001208562,0.001638017,0.001965978,0.003382247,0.00271146,0.003985881,0.004329582,0.004818487,0.004900919,0.005386694,0.006291823,0.007066715,0.007986218,0.014670492,0.014835754,0.009525153
454,-0.000384495,-3.57E-06,-4.02E-05,-4.50E-05,0.00064911,0.001196984,0.001368415,0.001591638,0.002974729,0.003046984,0.003694193,0.004478897,0.004569165,0.004657751,0.004501286,0.006336709,0.006573224,0.007957269,0.013826204,0.01412181,0.008928097
455,-0.000411909,-1.84E-05,0.000256917,0.000531894,0.000833733,0.000499032,0.001250408,0.001462818,0.00281629,0.002910903,0.003389264,0.004316379,0.004232176,0.004762791,0.005226036,0.006042572,0.006669449,0.007581946,0.013713311,0.014223039,0.008432118
456,4.91E-05,0.000671639,0.000272458,0.00080785,0.000696528,0.000973497,0.001420795,0.001613307,0.003347942,0.003634855,0.003800984,0.004638939,0.004868248,0.004941421,0.005506145,0.006166326,0.007066031,0.008144524,0.014367688,0.014346818,0.009103056
457,-0.000565085,-1.48E-05,0.000263237,0.000395251,0.001474818,0.00133967,0.000910613,0.002034503,0.002832079,0.002846827,0.003657488,0.004491138,0.004733663,0.005000806,0.004864295,0.006623686,0.006461072,0.00800267,0.0140817,0.014271669,0.008815732
458,9.94E-06,0.000394293,0.000633166,0.001298594,0.001222086,0.001305266,0.001649008,0.002081995,0.003066327,0.003402596,0.00375641,0.004661388,0.005181919,0.005484937,0.005334358,0.006760909,0.006917875,0.008092145,0.014478261,0.014248664,0.009082359
459,-0.000216922,0.000721601,0.000124762,0.000600737,0.00079203,0.000842706,0.001446844,0.001845209,0.002935166,0.00287291,0.003518554,0.004294993,0.005134584,0.004870238,0.0051837,0.006382258,0.006483143,0.007620512,0.014365842,0.014577511,0.008254236
460,0.000119144,0.000484985,0.000154852,0.000857257,0.00107181,0.000705629,0.001297373,0.001938286,0.002959117,0.002748397,0.003218678,0.004481094,0.004709404,0.004723692,0.005599407,0.00616798,0.006260386,0.008113349,0.014272873,0.014181208,0.008583326
461,-0.000538043,0.000253731,0.000322814,0.000411963,0.00075474,0.001164798,0.00108642,0.001653893,0.002732429,0.003134817,0.003671193,0.004156744,0.004297085,0.00479815,0.005129633,0.006080004,0.006619586,0.007871513,0.014081165,0.014480616,0.00852667
462,-0.000298414,0.000440492,9.31E-05,0.000667024,0.000841021,0.000708429,0.001577479,0.001600576,0.002782108,0.002995294,0.003715836,0.004205749,0.004725315,0.004686167,0.005093776,0.006133848,0.00675013,0.007423423,0.013745586,0.014101166,0.008790583
463,-9.22E-05,0.000360612,0.000375509,0.000552914,0.00089466,0.001291532,0.001494091,0.001897777,0.002417008,0.002925732,0.003710432,0.004601003,0.004678291,0.004506308,0.005381531,0.006138784,0.007039432,0.00764799,0.013640489,0.014111168,0.008610548
464,-0.000152907,-3.49E-05,0.000553406,0.000507066,0.001024376,0.001208588,0.001628715,0.001655271,0.002658976,0.00285024,0.003763225,0.00437173,0.004690276,0.004766926,0.005240499,0.006452218,0.006839714,0.007734465,0.013821794,0.014060898,0.008809498
465,-1.36E-05,0.000536041,0.000462025,0.001011558,0.001106221,0.001111697,0.001643084,0.001916757,0.002771088,0.002741859,0.003665345,0.004378738,0.004282288,0.004935635,0.004904741,0.006543081,0.006793933,0.007556817,0.014025712,0.014339327,0.008733663
466,-8.52E-05,0.000122303,0.000515488,0.000918058,0.000962055,0.001429287,0.001497727,0.002055777,0.002807353,0.003339594,0.00362076,0.004311046,0.00464289,0.004982974,0.005493116,0.006069531,0.006576562,0.007378766,0.014111194,0.014222718,0.009236782
467,-0.000324644,0.000158788,5.10E-05,0.000253472,0.000767368,0.001192416,0.001178944,0.001672759,0.002640015,0.002771088,0.003481837,0.00427421,0.00428566,0.004606131,0.005088223,0.005962311,0.006498646,0.007671834,0.013545138,0.013914159,0.008762241
